Date,HomeTeam,AwayTeam,FTHG,FTAG,Attendance
31/03/2010,Arsenal,Barcelona,2,2,
06/04/2010,Barcelona,Arsenal,4,1,
07/04/2010,Man United,Bayern Munich,3,2,
14/09/2010,Man United,Rangers,0,0,
14/09/2010,Werder Bremen,Tottenham,2,2,
15/09/2010,Arsenal,Braga,6,0,
15/09/2010,MŠK Žilina,Chelsea,1,4,
28/09/2010,Chelsea,Marseille,2,0,
28/09/2010,Partizan,Arsenal,1,3,
29/09/2010,Tottenham,Twente,4,1,
29/09/2010,Valencia,Man United,0,1,
19/10/2010,Arsenal,Shakhtar,5,1,
19/10/2010,Spartak Moscow,Chelsea,0,2,
20/10/2010,Inter,Tottenham,4,3,
20/10/2010,Man United,Bursaspor,1,0,
02/11/2010,Bursaspor,Man United,0,3,
02/11/2010,Tottenham,Inter,3,1,
03/11/2010,Chelsea,Spartak Moscow,4,1,
03/11/2010,Shakhtar,Arsenal,2,1,
23/11/2010,Braga,Arsenal,2,0,
23/11/2010,Chelsea,MŠK Žilina,2,1,
24/11/2010,Rangers,Man United,0,1,
24/11/2010,Tottenham,Werder Bremen,3,0,
07/12/2010,Man United,Valencia,1,1,
07/12/2010,Twente,Tottenham,3,3,
08/12/2010,Arsenal,Partizan,3,1,
08/12/2010,Marseille,Chelsea,1,0,
15/02/2011,Milan,Tottenham,0,1,
16/02/2011,Arsenal,Barcelona,2,1,
22/02/2011,FC Copenhagen,Chelsea,0,2,
23/02/2011,Marseille,Man United,0,0,
08/03/2011,Barcelona,Arsenal,3,1,
09/03/2011,Tottenham,Milan,0,0,
15/03/2011,Man United,Marseille,2,1,
16/03/2011,Chelsea,FC Copenhagen,0,0,
05/04/2011,Real Madrid,Tottenham,4,0,
06/04/2011,Chelsea,Man United,0,1,
12/04/2011,Man United,Chelsea,2,1,
13/04/2011,Tottenham,Real Madrid,0,1,
26/04/2011,Schalke 04,Man United,0,2,
04/05/2011,Man United,Schalke 04,4,1,
28/05/2011,Barcelona,Man United,3,1,
13/09/2011,Chelsea,Leverkusen,2,0,
13/09/2011,Dortmund,Arsenal,1,1,
14/09/2011,Benfica,Man United,1,1,
14/09/2011,Man City,Napoli,1,1,
27/09/2011,Bayern Munich,Man City,2,0,
27/09/2011,Man United,Basel,3,3,
28/09/2011,Arsenal,Olympiacos,2,1,
28/09/2011,Valencia,Chelsea,1,1,
18/10/2011,Man City,Villarreal,2,1,
18/10/2011,Oțelul Galați,Man United,0,2,
19/10/2011,Chelsea,Genk,5,0,
19/10/2011,Marseille,Arsenal,0,1,
01/11/2011,Arsenal,Marseille,0,0,
01/11/2011,Genk,Chelsea,1,1,
02/11/2011,Man United,Oțelul Galați,2,0,
02/11/2011,Villarreal,Man City,0,3,
22/11/2011,Man United,Benfica,2,2,
22/11/2011,Napoli,Man City,2,1,
23/11/2011,Arsenal,Dortmund,2,1,
23/11/2011,Leverkusen,Chelsea,2,1,
06/12/2011,Chelsea,Valencia,3,0,
06/12/2011,Olympiacos,Arsenal,3,1,
07/12/2011,Basel,Man United,2,1,
07/12/2011,Man City,Bayern Munich,2,0,
15/02/2012,Milan,Arsenal,4,0,
21/02/2012,Napoli,Chelsea,3,1,
06/03/2012,Arsenal,Milan,3,0,
14/03/2012,Chelsea,Napoli,4,1,
27/03/2012,Benfica,Chelsea,0,1,
04/04/2012,Chelsea,Benfica,2,1,
18/04/2012,Chelsea,Barcelona,1,0,
24/04/2012,Barcelona,Chelsea,2,2,
19/05/2012,Bayern Munich,Chelsea,(,),
18/09/2012,Montpellier,Arsenal,1,2,
18/09/2012,Real Madrid,Man City,3,2,
19/09/2012,Chelsea,Juventus,2,2,
19/09/2012,Man United,Galatasaray,1,0,
02/10/2012,CFR Cluj,Man United,1,2,
02/10/2012,Nordsjælland,Chelsea,0,4,
03/10/2012,Arsenal,Olympiacos,3,1,
03/10/2012,Man City,Dortmund,1,1,
23/10/2012,Man United,Braga,3,2,
23/10/2012,Shakhtar,Chelsea,2,1,
24/10/2012,Ajax,Man City,3,1,
24/10/2012,Arsenal,Schalke 04,0,2,
06/11/2012,Man City,Ajax,2,2,
06/11/2012,Schalke 04,Arsenal,2,2,
07/11/2012,Braga,Man United,1,3,
07/11/2012,Chelsea,Shakhtar,3,2,
20/11/2012,Galatasaray,Man United,1,0,
20/11/2012,Juventus,Chelsea,3,0,
21/11/2012,Arsenal,Montpellier,2,0,
21/11/2012,Man City,Real Madrid,1,1,
04/12/2012,Dortmund,Man City,1,0,
04/12/2012,Olympiacos,Arsenal,2,1,
05/12/2012,Chelsea,Nordsjælland,6,1,
05/12/2012,Man United,CFR Cluj,0,1,
13/02/2013,Real Madrid,Man United,1,1,
19/02/2013,Arsenal,Bayern Munich,1,3,
05/03/2013,Man United,Real Madrid,1,2,
13/03/2013,Bayern Munich,Arsenal,0,2,
17/09/2013,Man United,Leverkusen,4,2,
17/09/2013,Viktoria Plzeň,Man City,0,3,
18/09/2013,Chelsea,Basel,1,2,
18/09/2013,Marseille,Arsenal,1,2,
01/10/2013,Arsenal,Napoli,2,0,
01/10/2013,Steaua,Chelsea,0,4,
02/10/2013,Man City,Bayern Munich,1,3,
02/10/2013,Shakhtar,Man United,1,1,
22/10/2013,Arsenal,Dortmund,1,2,
22/10/2013,Schalke 04,Chelsea,0,3,
23/10/2013,CSKA Moscow,Man City,1,2,
23/10/2013,Man United,Real Sociedad,1,0,
05/11/2013,Man City,CSKA Moscow,5,2,
05/11/2013,Real Sociedad,Man United,0,0,
06/11/2013,Chelsea,Schalke 04,3,0,
06/11/2013,Dortmund,Arsenal,0,1,
26/11/2013,Arsenal,Marseille,2,0,
26/11/2013,Basel,Chelsea,1,0,
27/11/2013,Leverkusen,Man United,0,5,
27/11/2013,Man City,Viktoria Plzeň,4,2,
10/12/2013,Bayern Munich,Man City,2,3,
10/12/2013,Man United,Shakhtar,1,0,
11/12/2013,Chelsea,Steaua,1,0,
11/12/2013,Napoli,Arsenal,2,0,
18/02/2014,Man City,Barcelona,0,2,
19/02/2014,Arsenal,Bayern Munich,0,2,
25/02/2014,Olympiacos,Man United,2,0,
26/02/2014,Galatasaray,Chelsea,1,1,
11/03/2014,Bayern Munich,Arsenal,1,1,
12/03/2014,Barcelona,Man City,2,1,
18/03/2014,Chelsea,Galatasaray,2,0,
19/03/2014,Man United,Olympiacos,3,0,
01/04/2014,Man United,Bayern Munich,1,1,
02/04/2014,Paris S-G,Chelsea,3,1,
08/04/2014,Chelsea,Paris S-G,2,0,
09/04/2014,Bayern Munich,Man United,3,1,
22/04/2014,Atlético Madrid,Chelsea,0,0,
30/04/2014,Chelsea,Atlético Madrid,1,3,
16/09/2014,Dortmund,Arsenal,2,0,"65,851"
16/09/2014,Liverpool,Ludogorets,2,1,"43,307"
17/09/2014,Bayern Munich,Man City,1,0,"68,000"
17/09/2014,Chelsea,Schalke 04,1,1,"40,648"
30/09/2014,Man City,Roma,1,1,"37,509"
30/09/2014,Sporting CP,Chelsea,0,1,"40,734"
01/10/2014,Arsenal,Galatasaray,4,1,"59,803"
01/10/2014,Basel,Liverpool,1,0,"36,000"
21/10/2014,CSKA Moscow,Man City,2,2,
21/10/2014,Chelsea,NK Maribor,6,0,"41,126"
22/10/2014,Anderlecht,Arsenal,1,2,"19,881"
22/10/2014,Liverpool,Real Madrid,0,3,"43,521"
04/11/2014,Arsenal,Anderlecht,3,3,"60,000"
04/11/2014,Real Madrid,Liverpool,1,0,"75,000"
05/11/2014,Man City,CSKA Moscow,1,2,"42,000"
05/11/2014,NK Maribor,Chelsea,1,1,"12,500"
25/11/2014,Man City,Bayern Munich,3,2,"44,510"
25/11/2014,Schalke 04,Chelsea,0,5,"54,442"
26/11/2014,Arsenal,Dortmund,2,0,"59,902"
26/11/2014,Ludogorets,Liverpool,2,2,"6,300"
09/12/2014,Galatasaray,Arsenal,1,4,"20,590"
09/12/2014,Liverpool,Basel,1,1,"43,290"
10/12/2014,Chelsea,Sporting CP,3,1,"41,089"
10/12/2014,Roma,Man City,0,2,"54,119"
17/02/2015,Paris S-G,Chelsea,1,1,"45,713"
24/02/2015,Man City,Barcelona,1,2,"45,550"
25/02/2015,Arsenal,Monaco,1,3,"59,868"
11/03/2015,Chelsea,Paris S-G,2,2,"37,692"
17/03/2015,Monaco,Arsenal,0,2,17
18/03/2015,Barcelona,Man City,1,0,"92,551"
15/09/2015,Man City,Juventus,1,2,"50,363"
15/09/2015,PSV Eindhoven,Man United,2,1,"35,292"
16/09/2015,Chelsea,Maccabi Tel Aviv,4,0,"40,684"
16/09/2015,Dinamo Zagreb,Arsenal,2,1,"17,840"
29/09/2015,Arsenal,Olympiacos,2,3,"59,428"
29/09/2015,Porto,Chelsea,2,1,"46,120"
30/09/2015,Gladbach,Man City,1,2,"46,217"
30/09/2015,Man United,Wolfsburg,2,1,"74,811"
20/10/2015,Arsenal,Bayern Munich,2,0,"49,824"
20/10/2015,Dynamo Kyiv,Chelsea,0,0,"60,291"
21/10/2015,CSKA Moscow,Man United,1,1,"18,456"
21/10/2015,Man City,Sevilla,2,1,"45,595"
